# SIMULACION DE DATOS
# Numero de anos actual
56
# Numero de edades 
3
# Numero de clases de talla 
30
#nper  
10
# MATRIZ DE DATOS HISTORICOS 
#Yr Desemb cv_Desemb CPUEI cv_CPUEI CPUEA cv_CPUEA Bcruc cv_Bcruc Mpdh cv_Mpdh nm_flota nm_cruc
 0 0 0 0 0 114 233 1055 1455 2367 2772 4159 3924 4384 2106 1475 772 671 359 486 569 659 1214 917 425 106 5 5 0 0
 0 0 0 0 0 0 0 0 15 92 280 517 1053 1927 2761 2744 1715 905 407 230 169 220 565 746 694 285 50 6 0 0
 0 0 0 0 0 13 46 122 271 443 470 431 302 173 242 200 197 232 233 184 441 1195 2221 2037 1068 276 63 5 0 0
 0 0 0 0 0 0 109 210 216 136 157 233 294 377 585 641 577 432 203 74 166 497 635 353 80 19 5 0 0 0
 0 10 89 55 47 61 178 404 385 242 341 381 354 370 413 407 287 163 97 87 120 118 229 244 205 66 11 2 0 0
 0 9.2 44.2 128.3 190.7 291.7 248 311.6 558.7 834.2 1549.5 1840.1 2620.1 2307.7 1728 1102.6 609.3 322.4 94.6 48.9 70 93.3 63 31.8 3.4 1.2 0 0 0 0
 0 14.7 36.7 41.4 113.4 510.9 1252.1 842.9 457.6 462.6 809.1 1167.2 1060.8 1110.1 971.4 1006.2 902.5 1017.7 1073 851.3 470.3 165 131.1 35.4 9.5 0 0 1.3 0 0
 591.1 244.3 594.6 2399.9 3360.7 1315.2 564.5 681.7 1128.9 1597.7 1593.9 1342.9 1285.3 1045.5 522.6 189.4 224.4 353.9 529 717.1 475.4 445.8 494.7 355.8 124.7 46.7 7.4 0 0 0
 0 0 0 0 1.5 23.8 253.7 1611.5 3887 5766.9 4243.9 3573.1 3864.6 3469.7 4757.6 3878.9 3515.8 2914.5 1770.9 1302.4 1588 1559.8 1753.1 729.1 299.8 20.9 0.3 0 0 0
 1.8 7.5 31.2 67.4 236.9 597 996.9 884 631.8 1483.6 1791.9 2649.3 2448.5 1867.9 1468.7 1717.6 2714.7 2649.3 2015.2 1319.6 711.3 292.9 109 15.8 8 0.3 0.5 0 0 0
#crucero simulados 
 7.9088 15.7791 29.6034 52.2267 86.6423 135.16 198.259 273.432 354.515 431.99 494.55 531.787 537.556 513.517 472.391 440.146 456.631 570.807 819.984 1193.36 1573.19 1740.87 1529.55 1071.2 768.984 680.801 307.165 60.5076 0.778758 0.321351
 19.3844 38.6744 72.5578 128.007 212.358 331.267 485.894 670.048 868.499 1057.67 1209.42 1297.46 1304.86 1230.07 1088.62 909.485 729.299 581.928 484.042 436.818 418.436 391.859 337.278 318.391 482.142 690.81 429.727 118.916 0.991535 0.409155
 39.6895 79.1857 148.562 262.095 434.806 678.289 994.95 1372.22 1779.17 2168.09 2482.16 2668.49 2692.82 2551.03 2272.82 1915.49 1554.36 1262.63 1078.99 1006.06 988.495 923.648 731.173 458.885 256.461 170.851 193.664 133.129 1.97665 0.815662
 11.5136 22.9711 43.0965 76.0314 126.134 196.766 288.628 398.075 516.144 629.002 720.211 774.568 782.707 745.435 676.873 605.54 573.767 631.322 814.181 1114.46 1429.98 1568.74 1376.46 943.951 592.177 425.037 175.405 75.881 0.897834 0.370488
 9.96429 19.88 37.2973 65.8 109.158 170.278 249.744 344.345 446.177 542.972 620.024 663.597 665.041 624.293 551.248 464.061 385.943 339.394 337.145 377.909 432.934 452.38 404.852 353.303 454.9 613.618 341.287 76.628 0.573535 0.236668
 28.7874 57.4346 107.754 190.101 315.372 491.974 721.657 995.309 1290.52 1572.7 1800.71 1936.22 1954.34 1851.76 1649.21 1386.59 1115.96 887.062 725.017 632.478 578.843 508.585 382.679 236.962 157.345 143.857 150.463 85.9012 1.39899 0.577292
 15.1278 30.1819 56.6249 99.8983 165.728 258.533 379.231 523.034 678.165 826.448 946.27 1017.57 1027.66 976.207 877.953 762.161 670.39 648.51 726.988 901.887 1099.09 1178.47 1024.44 693.305 404.95 249.459 105.453 58.2658 0.962413 0.397137
 30.1957 60.2444 113.026 199.401 330.8 516.044 756.967 1044.02 1353.71 1649.79 1889.16 2031.68 2051.34 1944.9 1734.7 1464.05 1190.33 969.764 832.757 782.64 779.354 746.868 626.843 474.179 456.278 525.349 269.869 55.1836 1.58156 0.652629
 12.0045 23.9505 44.9341 79.2732 131.511 205.154 300.927 415.022 538.068 655.595 750.381 806.451 813.824 772.762 696.367 610.62 552.837 565.111 676.512 882.273 1105.93 1203.68 1058 732.814 469.189 355.648 251.37 107.07 0.846718 0.349396
 25.0342 49.9464 93.7055 165.316 274.254 427.829 627.557 865.497 1122.12 1367.27 1565.02 1681.93 1696.33 1605.74 1429.11 1202.82 974.434 789.827 673.166 626.622 617.566 585.924 488.49 378.063 399.672 493.631 278.593 93.2853 1.29322 0.533646
 22.5454 44.9811 84.3899 148.882 246.99 385.3 565.182 779.503 1010.72 1231.75 1410.4 1516.74 1531.55 1453.28 1300.88 1111.64 936.692 829.5 822.513 914.097 1038.12 1069.93 908.697 610.43 375.569 272.947 206.836 108.676 1.27551 0.526337
 27.9425 55.7488 104.591 184.521 306.115 477.534 700.475 966.093 1252.63 1526.52 1747.83 1879.38 1897.24 1798.96 1606.78 1363.98 1128.89 960.618 893.323 927.784 1005.27 1014.71 867.402 625.381 498.694 489.024 249.219 86.0394 1.5329 0.632546
 16.9874 33.892 63.5854 112.178 186.099 290.311 425.842 587.307 761.465 927.87 1062.19 1141.83 1152.44 1093.45 980.858 846.156 733.376 690.12 747.15 901.151 1080.33 1149.91 1002.48 709.098 513.721 461.996 288.906 105.244 1.06599 0.439876
 15.945 31.8123 59.6838 105.295 174.68 272.497 399.709 551.262 714.716 870.866 996.849 1071.39 1080.86 1024.21 915.02 779.697 654.073 575.096 564.851 622.361 703.254 725.255 627.083 470.071 433.095 487.946 297.437 110.039 0.922004 0.380463
 9.30165 18.558 34.817 61.4245 101.901 158.962 233.168 321.561 416.866 507.84 581.085 624.145 629.141 595.897 533.495 459.619 398.762 377.175 411.705 500.097 601.153 638.746 554.608 396.243 309.908 305.722 224.192 110.771 0.581907 0.240122
 7.53573 15.0348 28.207 49.763 82.5546 128.781 188.894 260.487 337.645 411.212 470.259 504.606 507.782 479.522 426.818 362.984 305.791 273.323 276.324 313.594 360.608 373.196 319.774 235.339 214.645 241.952 156.285 76.877 0.42781 0.176535
