#SIMULACION DE DATOS
#Numero de anos actual
50
#Numero de edades
5
#Numero de tallas
26
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 8.09247e-12 4.60122 44.7255 297.216 1351.1 4203.79 8956.65 13072.7 13073.7 8961.39 4219.7 1397.15 413.158 299.004 491.036 813.867 1194.37 1550.21 1801.28 1913.19 1915.76 1875.84 1846.46 1833.94 1804.24 1715.08
 5.18872e-12 2.20832 21.4657 142.647 648.454 2017.59 4298.75 6274.47 6276.03 4306.34 2043.1 722.144 327.677 425.595 770.357 1271.81 1836.21 2318.87 2574.31 2537.3 2262.06 1884.7 1539.56 1294.45 1142.62 1037.87
 1.10546e-11 7.68315 74.6829 496.294 2256.08 7019.52 14955.9 21828.7 21829.5 14959.9 7033.11 2295.41 595.288 291.705 422.546 693.449 1014.68 1310.5 1508.38 1573.86 1527.48 1424.08 1312.48 1209.07 1102.02 973.665
 8.46078e-12 4.08845 39.7412 264.094 1200.53 3735.32 7958.61 11616.4 11619.1 7972.02 3780.35 1330.55 590.337 751.57 1354.93 2230.79 3206.9 4019.93 4404.64 4239.59 3620.45 2796.5 2023.24 1444.71 1073.22 844.766
 1.11346e-11 6.88815 66.9553 444.942 2022.64 6293.19 13408.4 19570.2 19571.7 13415.5 6317.12 2091.86 619.133 448.676 736.111 1217.14 1778.45 2290.01 2622.13 2711.85 2594.3 2367.33 2121.06 1891.35 1665.53 1419.8
 2.08008e-11 13.8388 134.518 893.922 4063.64 12643.5 26938.4 39318 39320.7 26951.8 12688.3 4192.92 1218.52 843.416 1361.07 2230.65 3217.9 4059.47 4497.17 4413.14 3898.7 3189.58 2520.96 2015.78 1671.41 1419.95
 1.47771e-11 6.2457 60.7104 403.442 1833.99 5706.26 12158 17746.1 17751.4 12184.2 5794.18 2087.93 1040.91 1452.5 2650.07 4372.66 6301.65 7931.07 8748.12 8514.65 7406.63 5890.44 4440.67 3320 2548.49 2014.07
 1.75912e-11 10.049 97.6798 649.117 2950.79 9181.02 19561.2 28550.7 28553.1 19573.2 9221.2 3067.14 942.217 741 1242.03 2064.05 3034.43 3945.37 4587.97 4860.03 4813.51 4592.93 4320.21 4025.2 3666.22 3200.28
 1.97627e-11 10.9923 106.85 710.053 3227.8 10042.9 21397.6 31231.3 31235.2 21416.9 10107.8 3415.33 1181.05 1135.88 1967.89 3242.89 4687.39 5931.69 6607.76 6549.73 5891.64 4970.98 4117.32 3491.62 3070.96 2741.37
 2.01995e-11 10.814 105.116 698.536 3175.44 9880.01 21050.6 30724.8 30729.1 21071.7 9950.93 3380.44 1213.63 1231.3 2154.71 3558.36 5156.1 6549.51 7338.3 7336.36 6676.29 5706.13 4766.08 4023.35 3462.45 2984.9
