#SIMULACION DE DATOS
#Numero de anos actual
44
#Numero de edades
5
#Numero de tallas
36
#Datos observados
#Yr Reclas cv_reclas Pelaces cv_pelaces Mpdh cv_mpdh Desemb cv_desemb  
 10.5 18.4 28.8 35.8 41.1
 8.6 15.8 25.2 32.9 37.2
 9.1 16.2 25.4 33.9 35.7
 8.7 15.8 28.1 35 38.8
 8.1 13.4 25.8 33.2 41.7
 7.3 12.8 23.7 32.3 36.1
 9.9 16.2 23 33.9 42
 7.3 20.3 29.3 34.2 44.8
 10.8 18.5 23.8 32.2 48.7
 11.7 24.2 33.9 45.7 50
 8.9 25.5 33 44.8 44.1
 10 24.7 35.3 45.2 49.7
 10.5 24.6 34 44.6 54.8
 6 17.4 27.9 38.2 36
 6.6 24.2 33.4 43.6 54.8
 8 19 27.5 36 44
#Peso medio simulacion
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
 8 19 27.5 36 44
#Peso inicial observados
 31.4 22.5 38.1 54.2 64.5
 1.8 12.6 23.6 32.7 41.8
 14.8 11 18 25.8 32.2
 5.9 17.1 27.7 38.9 50.7
 5.3 10.8 21.7 31 40.1
 3 12.4 20 30.7 40.4
 13.6 14.3 30.1 41.3 54.1
 7.9 16.3 29.3 41 49.7
 8.6 13.9 22.6 31.3 37.9
 6.3 12.9 21.5 30.8 36.5
 6.9 11.8 20 29.2 34.3
 7 12 21.3 29.8 36.3
 6.4 10.8 20.2 30.5 38.2
 4.9 10.2 17.8 28.9 34.6
 6.9 10.9 17.2 28.3 36.8
 4.6 14.2 21.8 28 39
 7.2 11.6 22 30.7 40.8
 7.9 16.2 25 33 40.1
 5.3 17.3 28.3 39 44.9
 6.4 14.8 30 38.6 47.2
 8.2 15.7 29 39.7 49.8
 3 13.5 26.2 36 40.1
 3.5 12 24.1 34.9 45.7
 4.8 11.2 25.8 34.7 43.8
#Peso inicial simulacion
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
 4.8 11.2 25.8 34.7 43.8
